"id","active","Address","createdBy","createdDateTime","lookup_field","managingOrganization","modifiedBy","modifiedDateTime","name","position","UPRN"
"2107206379180003","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Wadebridge""},""line"":{""L"":[{""S"":""Jubilee Road""}]},""district"":{""S"":""Cornwall""},""postalCode"":{""S"":""PL27 7AT""}}}]","Admin","20-03-2024 18:18:27","FPN60","","Admin","20-03-2024 18:18:27","Day Lewis Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"2421132773716472","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Exeter""},""line"":{""L"":[{""S"":""1A Station Road""},{""S"":""Pinhoe""}]},""district"":{""S"":""Devon""},""postalCode"":{""S"":""EX1 3SA""}}}]","Admin","20-03-2024 18:18:00","P29K","","Admin","20-03-2024 18:18:00","Pinhoe Pharmacy Ltd","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"1389451210485755","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Plymouth""},""line"":{""L"":[{""S"":""324 Old Laira Road""},{""S"":""Laira""}]},""district"":{""S"":""Devon""},""postalCode"":{""S"":""PL3 6AQ""}}}]","Admin","20-03-2024 18:18:30","FF102","","Admin","20-03-2024 18:18:30","Well","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}","100041063821"
"6126228198552551","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Plymouth""},""line"":{""L"":[{""S"":""146 Eggbuckland Road""},{""S"":""Higher Compton""}]},""district"":{""S"":""Devon""},""postalCode"":{""S"":""PL3 5JU""}}}]","Admin","20-03-2024 18:17:55","FPJ91","","Admin","20-03-2024 18:17:55","Well","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}","100041062313"
"1642165942531834","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""St Austell""},""line"":{""L"":[{""S"":""Wheal Northey Centre""},{""S"":""1 Wheal Northey""}]},""district"":{""S"":""Cornwall""},""postalCode"":{""S"":""PL25 3EF""}}}]","Admin","20-03-2024 18:17:50","FVC60","","Admin","20-03-2024 18:17:50","Day Lewis Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}","10091022707"
"1197865490514289","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Newcastle Upon Tyne""},""line"":{""L"":[{""S"":""Po Box 114""},{""S"":""Gosforth""}]},""district"":{""S"":""Tyne And Wear""},""postalCode"":{""S"":""NE3 4WB""}}}]","Admin","20-03-2024 18:17:30","P93D","","Admin","20-03-2024 18:17:30","Fairmans Chemist Ltd","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"2247989488676775","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Penzance""},""line"":{""L"":[{""S"":""3 Alverton Street""}]},""district"":{""S"":""Cornwall""},""postalCode"":{""S"":""TR18 2QW""}}}]","Admin","20-03-2024 18:17:53","FHR85","","Admin","20-03-2024 18:17:53","Boots","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}","100041028227"
"2779822184212199","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Exeter""},""line"":{""L"":[{""S"":""Newcourt House""},{""S"":""Old Rydon Lane""}]},""postalCode"":{""S"":""EX2 7JU""}}}]","Admin","20-03-2024 18:17:37","QJK","","Admin","20-03-2024 18:17:37","Nhs Devon Integrated Care Board","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}","10092023055"
"1957921356261295","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Tavistock""},""line"":{""L"":[{""S"":""Abbey Surgery""},{""S"":""28 Plymouth Road""}]},""postalCode"":{""S"":""PL19 8BU""}}}]","Admin","20-03-2024 18:17:56","FFT25","","Admin","20-03-2024 18:17:56","Day Lewis Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}","100041155430"
"6773729754740974","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Welwyn Garden City""},""line"":{""L"":[{""S"":""Tesco House""},{""S"":""P O Box 266""},{""S"":""Cirrus Building, Shire Park""}]},""district"":{""S"":""Hertfordshire""},""postalCode"":{""S"":""AL7 1SQ""}}}]","Admin","20-03-2024 18:18:06","P29F","","Admin","20-03-2024 18:18:06","Tesco Plc","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"1140571597453658","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Exmouth""},""line"":{""L"":[{""S"":""120 Withycombe Village Rd""}]},""district"":{""S"":""Devon""},""postalCode"":{""S"":""EX8 3AN""}}}]","Admin","20-03-2024 18:18:04","FNP64","","Admin","20-03-2024 18:18:04","Withycombe Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}","100041042951"
"6132252131222486","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Hastings""},""line"":{""L"":[{""S"":""478 Old London Road""}]},""district"":{""S"":""East Sussex""},""postalCode"":{""S"":""TN35 5BG""}}}]","Admin","20-03-2024 18:17:32","FLE70","","Admin","20-03-2024 18:17:32","Osbon Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"6047461240093371","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Looe""},""line"":{""L"":[{""S"":""Fore Street""},{""S"":""East Looe""}]},""district"":{""S"":""Cornwall""},""postalCode"":{""S"":""PL13 1DT""}}}]","Admin","20-03-2024 18:17:52","FEL17","","Admin","20-03-2024 18:17:52","Looe Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}","200002917596"
"1384539451973040","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""St Dennis""},""line"":{""L"":[{""S"":""Fore Street""}]},""district"":{""S"":""Cornwall""},""postalCode"":{""S"":""PL26 8AB""}}}]","Admin","20-03-2024 18:17:24","P081","","Admin","20-03-2024 18:17:24","Bann'S Pharmacy Limited","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"2921331956968564","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Launceston""},""line"":{""L"":[{""S"":""9 Broad Street""}]},""district"":{""S"":""Cornwall""},""postalCode"":{""S"":""PL15 8AA""}}}]","Admin","20-03-2024 18:18:14","FDK48","","Admin","20-03-2024 18:18:14","Day Lewis Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"2782928072571104","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Penzance""},""line"":{""L"":[{""S"":""Cemetery Lodge""},{""S"":""St. Clare Street""}]},""postalCode"":{""S"":""TR18 3DX""}}}]","Admin","20-03-2024 18:18:34","FLQ72","","Admin","20-03-2024 18:18:34","Day Lewis Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"2916433110705385","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Truro""},""line"":{""L"":[{""S"":""Garras Wharf""}]},""district"":{""S"":""Cornwall""},""postalCode"":{""S"":""TR1 2TN""}}}]","Admin","20-03-2024 18:18:08","FDL22","","Admin","20-03-2024 18:18:08","Tesco Instore Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"1540581049737392","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Newquay""},""line"":{""L"":[{""S"":""Newquay Health Centre""},{""S"":""St. Thomas Road""}]},""district"":{""S"":""Cornwall""},""postalCode"":{""S"":""TR7 1RU""}}}]","Admin","20-03-2024 18:17:48","FF901","","Admin","20-03-2024 18:17:48","Day Lewis Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"3352325576851424","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Bodmin""},""line"":{""L"":[{""S"":""Part 2S""},{""S"":""Chy Trevail""},{""S"":""Beacon Technology Park""}]},""district"":{""S"":""Cornwall""},""postalCode"":{""S"":""PL31 2FR""}}}]","Admin","20-03-2024 18:17:47","QT6","","Admin","20-03-2024 18:17:47","Nhs Cornwall And The Isles Of Scilly Integrated Care Board","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"2335883188213984","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Honiton""},""line"":{""L"":[{""S"":""Battishorne Way""}]},""district"":{""S"":""Devon""},""postalCode"":{""S"":""EX14 2XD""}}}]","Admin","20-03-2024 18:18:35","FE404","","Admin","20-03-2024 18:18:35","Tesco Instore Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"2442310905622371","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Camborne""},""line"":{""L"":[{""S"":""40 Fore Street""},{""S"":""Troon""}]},""district"":{""S"":""Cornwall""},""postalCode"":{""S"":""TR14 9EF""}}}]","Admin","20-03-2024 18:18:05","FQM70","","Admin","20-03-2024 18:18:05","Boots","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}","10007797559"
"1825539873055340","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Torquay""},""line"":{""L"":[{""S"":""Bronshill Road""}]},""district"":{""S"":""Devon""},""postalCode"":{""S"":""TQ1 3HD""}}}]","Admin","20-03-2024 18:18:15","FEC86","","Admin","20-03-2024 18:18:15","Day Lewis Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"2316793934252332","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Wirral""},""line"":{""L"":[{""S"":""Welton Road""},{""S"":""Croft Business Park""},{""S"":""Bromborough""}]},""district"":{""S"":""Merseyside""},""postalCode"":{""S"":""CH62 3PN""}}}]","Admin","20-03-2024 18:17:26","FC972","","Admin","20-03-2024 18:17:26","Boots","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"2369219966278668","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Paignton""},""line"":{""L"":[{""S"":""5 Palace Avenue""}]},""district"":{""S"":""Devon""},""postalCode"":{""S"":""TQ3 3EF""}}}]","Admin","20-03-2024 18:17:51","FA041","","Admin","20-03-2024 18:17:51","Well","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"1941119340186844","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Plymouth""},""line"":{""L"":[{""S"":""97 King Street""},{""S"":""Stonehouse""}]},""district"":{""S"":""Devon""},""postalCode"":{""S"":""PL1 5JA""}}}]","Admin","20-03-2024 18:18:02","FGL69","","Admin","20-03-2024 18:18:02","Well","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}","100041062927"
