"id","active","code","createdBy","createdDateTime","identifier","lookup_field_Org","lookup_field_parti","modifiedBy","modifiedDateTime","organization","participatingOrganization","periodStart","resourceType"
"2679515134569458","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE4""},""display"":{""S"":""IS COMMISSIONED BY""}}}]}}}]","Admin","21-03-2024 10:48:30","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""654493""},""use"":{""S"":""secondary""}}","FPJ91","QJK","Admin","21-03-2024 10:48:30","1211582705235618","3037648242472551","2020-04-01","OrganizationAffiliation"
"1176116041603823","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:48:06","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""805814""},""use"":{""S"":""secondary""}}","FRR62","A4Q8D","Admin","21-03-2024 10:48:06","2817324694954727","1651199580028241","2022-04-27","OrganizationAffiliation"
"1191243330887235","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE4""},""display"":{""S"":""IS COMMISSIONED BY""}}}]}}}]","Admin","21-03-2024 10:50:09","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""647314""},""use"":{""S"":""secondary""}}","FAG61","QT6","Admin","21-03-2024 10:50:09","4313322089984190","3161777084860195","2020-04-01","OrganizationAffiliation"
"2351992382377061","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:49:43","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""313738""},""use"":{""S"":""secondary""}}","FHQ13","P29F","Admin","21-03-2024 10:49:43","1009576741753418","2023708018912109","2009-12-07","OrganizationAffiliation"
"1495638487037862","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:48:09","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""328059""},""use"":{""S"":""secondary""}}","FTM24","P05F","Admin","21-03-2024 10:48:09","2954365838028668","1277746025276368","2007-03-26","OrganizationAffiliation"
"1224170304478710","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE4""},""display"":{""S"":""IS COMMISSIONED BY""}}}]}}}]","Admin","21-03-2024 10:49:12","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""649039""},""use"":{""S"":""secondary""}}","FEA61","QT6","Admin","21-03-2024 10:49:12","2232364407348976","3161777084860195","2020-04-01","OrganizationAffiliation"
"3227347486094706","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:49:14","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""383978""},""use"":{""S"":""secondary""}}","FT462","P05F","Admin","21-03-2024 10:49:14","1664979867354075","1277746025276368","2015-06-01","OrganizationAffiliation"
"2786828576784062","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:49:37","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""534480""},""use"":{""S"":""secondary""}}","FJP75","P0MG","Admin","21-03-2024 10:49:37","1457042585771241","2681840880452188","2018-03-21","OrganizationAffiliation"
"3108697929264941","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE4""},""display"":{""S"":""IS COMMISSIONED BY""}}}]}}}]","Admin","21-03-2024 10:49:03","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""652668""},""use"":{""S"":""secondary""}}","FLE70","QNX","Admin","21-03-2024 10:49:03","2468926442744778","2426078448785187","2020-04-01","OrganizationAffiliation"
"3084457150698150","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE4""},""display"":{""S"":""IS COMMISSIONED BY""}}}]}}}]","Admin","21-03-2024 10:48:37","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""651652""},""use"":{""S"":""secondary""}}","FJP75","QJK","Admin","21-03-2024 10:48:37","1457042585771241","3037648242472551","2020-04-01","OrganizationAffiliation"
"1076674165185320","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:49:34","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""311100""},""use"":{""S"":""secondary""}}","FG456","P057","Admin","21-03-2024 10:49:34","2919933596544388","1031681736448320","2011-05-31","OrganizationAffiliation"
"8958124847587383","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE4""},""display"":{""S"":""IS COMMISSIONED BY""}}}]}}}]","Admin","21-03-2024 10:48:55","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""653068""},""use"":{""S"":""secondary""}}","FM401","QT6","Admin","21-03-2024 10:48:55","3280858138850584","3161777084860195","2020-04-01","OrganizationAffiliation"
"8978018093634353","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:49:42","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""324817""},""use"":{""S"":""secondary""}}","FQM70","P08F","Admin","21-03-2024 10:49:42","1719900850481394","1538140247840932","2004-04-01","OrganizationAffiliation"
"1240587591274121","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE4""},""display"":{""S"":""IS COMMISSIONED BY""}}}]}}}]","Admin","21-03-2024 10:48:53","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""649063""},""use"":{""S"":""secondary""}}","FEC86","QJK","Admin","21-03-2024 10:48:53","1724638653685647","3037648242472551","2020-04-01","OrganizationAffiliation"
"3233392270083909","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:49:55","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""565762""},""use"":{""S"":""secondary""}}","FM401","P2LD","Admin","21-03-2024 10:49:55","3280858138850584","5902917895414178","2019-03-27","OrganizationAffiliation"
"7970114110946106","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:50:10","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""534347""},""use"":{""S"":""secondary""}}","FF102","P0MG","Admin","21-03-2024 10:50:10","2629006603847406","2681840880452188","2018-03-20","OrganizationAffiliation"
"1147511360013667","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:47:55","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""717420""},""use"":{""S"":""secondary""}}","FC818","P081","Admin","21-03-2024 10:47:55","2524187434600144","2095598152607630","2020-10-01","OrganizationAffiliation"
"2681856824020365","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:48:12","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""329296""},""use"":{""S"":""secondary""}}","FVE84","P05F","Admin","21-03-2024 10:48:12","3296167765511289","1277746025276368","2007-03-12","OrganizationAffiliation"
"6378463738367895","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:48:27","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""308627""},""use"":{""S"":""secondary""}}","FEL17","P7CN","Admin","21-03-2024 10:48:27","2256205193862770","1579376754298508","2006-12-01","OrganizationAffiliation"
